url,dataset_relevance,species,1_10_spp,more_10spp,n
https://doi.org/10.5061/dryad.0rxwdbs2c,L,Tamias striatus,Mammalia ,,
https://doi.org/10.5061/dryad.121sk,M,Glyptemys insculpta,Reptilia,,
https://doi.org/10.5061/dryad.15dv41p1m,L,"Lemna minor, Lemna trisulca, Spirodela polyrhiza,Wolffia columbiana",Angiosperms,,
https://doi.org/10.5061/dryad.1771t,L,"raccoons, striped skunks",Mammalia ,,
https://doi.org/10.5061/dryad.1c59zw3zf,L,white-tailed deer,Mammalia ,,
https://doi.org/10.5061/dryad.1cc4v,M,Rangifer tarandus caribou,Mammalia ,,
https://doi.org/10.5061/dryad.24q6q70,M,Rangifer tarandus caribou,Mammalia ,,
https://doi.org/10.5061/dryad.24rj8,M,Aspicilia bicensis,Lichen,,
https://doi.org/10.5061/dryad.2b8f1,H,Salvelinus namaycush,Osteichthyes,,
https://doi.org/10.5061/dryad.2bvq83brd,H,"Tachycineta bicolor, Passer domesticus",Osteichthyes,,
https://doi.org/10.5061/dryad.2n5h6,M,black-legged tick,Insecta,,
https://doi.org/10.5061/dryad.2v6wwpzqx,H,black spruce: Picea mariana; jack pine: Pinus banksiana; Balsam fir: Abies balsamea; broadleaved: Betula papyrifera and Populus tremuloides,Gymnosperms,,
https://doi.org/10.5061/dryad.36634,H,Acer saccharum,Angiosperms,,
https://doi.org/10.5061/dryad.39jb0,L,Anguilla rostrata,Osteichthyes,,
https://doi.org/10.5061/dryad.3nh72,M,"Eastern coyote, eastern wolf",Mammalia ,,
https://doi.org/10.5061/dryad.3xsj3txdp,L,64 plant species,,Plantae,64
https://doi.org/10.5061/dryad.4767v,H,"Rhododendron groenlandicum, Kalmia angustifolia, Chamaedaphne calyculata, Vaccinium spp",Angiosperms,,
https://doi.org/10.5061/dryad.4k275,H,Rangifer tarandus,Mammalia ,,
https://doi.org/10.5061/dryad.4k739,L,Atlantic salmon,Osteichthyes,,
https://doi.org/10.5061/dryad.62g52g4,L,Oxalis montana ,Angiosperms,,
https://doi.org/10.5061/dryad.63fr7,L,"Populus balsamifera, Populus deltoides, hybrids",Angiosperms,,
https://doi.org/10.5061/dryad.679s1dt,H,,,Mammalia,10
https://doi.org/10.5061/dryad.679s1dt,H,NA,,Insecta,42
https://doi.org/10.5061/dryad.67t23,M,Tachycineta bicolor,Aves,,
https://doi.org/10.5061/dryad.686sq,L,Coregonus clupeaformis,Osteichthyes,,
https://doi.org/10.5061/dryad.6g53s,M,Salvelinus namaycush,Osteichthyes,,
https://doi.org/10.5061/dryad.7163d,M,Atlantic salmon,Osteichthyes,,
https://doi.org/10.5061/dryad.72602,H,Rangifer tarandus caribou,Mammalia ,,
https://doi.org/10.5061/dryad.796t8,H,,,Mammalia ,2
https://doi.org/10.5061/dryad.796t8,H,40 species (mostly birds and few mammals),,Aves,38
https://doi.org/10.5061/dryad.8134,L,"Protomognathus americanus, Temnothorax longispinosus, Temnothorax curvispinosus",Insecta,,
https://doi.org/10.5061/dryad.82hs7,H,Poecile hudsonicus,Aves,,
https://doi.org/10.5061/dryad.841vq48,M,bee communities,,Insecta,74
https://doi.org/10.5061/dryad.87jb3,M,Tachycineta bicolor,Aves,,
https://doi.org/10.5061/dryad.8cz8w9gk6,H,21 bird species,,Aves,21
https://doi.org/10.5061/dryad.8cz8w9gr1,M,Pseudacris maculata,Amphibia ,,
https://doi.org/10.5061/dryad.8kprr4xs0,M,10 tree species,,Plantae,13
https://doi.org/10.5061/dryad.8mc79,L,Globodera rostochiensis,roundworms,,
https://doi.org/10.5061/dryad.8w9ghx3pf,M,,Mammalia ,,
https://doi.org/10.5061/dryad.8w9ghx3pf,M,"arctic fox, lemming, Sandpiper, Passerine",Aves,,
https://doi.org/10.5061/dryad.914j5m0,L,black spruce,Gymnosperms,,
https://doi.org/10.5061/dryad.9tf3hr5,L,Salvelinus fontinalis,Osteichthyes,,
https://doi.org/10.5061/dryad.9w0vt4bg8,H,100 lichen species,,Lichen,100
https://doi.org/10.5061/dryad.b46k4,L,c.150 plant species,,Plantae,150
https://doi.org/10.5061/dryad.d5j34,L,Sugar maple,Angiosperms,,
https://doi.org/10.5061/dryad.d7wm37q4f,M,37 ant species,,Insecta,37
https://doi.org/10.5061/dryad.dbrv15f1c,M,Juglans cinerea,Gymnosperms,,
https://doi.org/10.5061/dryad.dncjsxm24,M,97 plant species,,Plantae,97
https://doi.org/10.5061/dryad.f7bq534,M,,Angiosperms,,
https://doi.org/10.5061/dryad.f7bq534,M,"black spruce, balsam fir, jack pine, white spruce, white birch",Gymnosperms,,
https://doi.org/10.5061/dryad.ft94b,L,Coregonus clupeaformis,Osteichthyes,,
https://doi.org/10.5061/dryad.g1jwstqqx,L,Ursus americanus,Mammalia ,,
https://doi.org/10.5061/dryad.h65f4,M,"Rangifer tarandus, Alces alces, Canis lupus",Mammalia ,,
https://doi.org/10.5061/dryad.hs37s,L,Myotis lucifugus,Mammalia ,,
https://doi.org/10.5061/dryad.j0t179b,L,Acer saccharum,Angiosperms,,
https://doi.org/10.5061/dryad.j6q573nh4,M,Anser caerulescens atlantica,Aves,,
https://doi.org/10.5061/dryad.jk680,M,Salvelinus namaycush,Osteichthyes,,
https://doi.org/10.5061/dryad.m233m,L,"Trillium erectum, Erythronium americanum",Angiosperms,,
https://doi.org/10.5061/dryad.mpg4f4r16,M,Tachycineta bicolor,Aves,,
https://doi.org/10.5061/dryad.n3c2f,L,caribou,Mammalia ,,
https://doi.org/10.5061/dryad.n7054,L,Tachycineta bicolor,Aves,,
https://doi.org/10.5061/dryad.n726pq6,M,caribou,Mammalia ,,
https://doi.org/10.5061/dryad.n8c57,M,Tachycineta bicolor,Aves,,
